State 82 g38 on VNAME
State 82 g96 on ATOMIC
State 82 g39 on CONST
State 83 s97 on else
State 84 s98 on ,
State 85 s99 on ,
State 86 s100 on (
State 87 s101 on )
State 88 s14 on num
State 88 r47 on end
State 88 s15 on void
State 88 r47 on $
State 88 g103 on FUNCTIONS
State 88 g11 on DECL
State 88 g12 on HEADER
State 88 g13 on FTYP
State 88 g102 on SUBFUNCS
State 89 r55 on num
State 89 r55 on end
State 89 r55 on void
State 89 r55 on $
State 90 s4 on num
State 90 s5 on text
State 90 g104 on VTYP
State 91 s9 on V
State 91 g105 on VNAME
State 92 s106 on )
State 93 r29 on ,
State 93 r29 on )
State 94 r30 on ,
State 94 r30 on )
State 95 s107 on ,
State 96 s108 on ,
State 97 s7 on begin
State 97 g109 on ALGO
State 98 s9 on V
State 98 s40 on N
State 98 s41 on T
State 98 g38 on VNAME
State 98 g110 on ATOMIC
State 98 g39 on CONST
State 99 s51 on or
State 99 s52 on and
State 99 s53 on eq
State 99 s54 on grt
State 99 s55 on add
State 99 s56 on sub
State 99 s57 on mul
State 99 s58 on div
State 99 g111 on SIMPLE
State 99 g86 on BINOP
State 100 s9 on V
State 100 s40 on N
State 100 s41 on T
State 100 g38 on VNAME
State 100 g84 on ATOMIC
State 100 g39 on CONST
State 101 r35 on then
State 102 s112 on end
State 103 r57 on end
State 104 s9 on V
State 104 g113 on VNAME
State 105 s114 on ,
State 106 r27 on ,
State 106 r27 on ;
State 106 r27 on )
State 107 s9 on V
State 107 s40 on N
State 107 s41 on T
State 107 s59 on not
State 107 s60 on sqrt
State 107 s51 on or
State 107 s52 on and
State 107 s53 on eq
State 107 s54 on grt
State 107 s55 on add
State 107 s56 on sub
State 107 s57 on mul
State 107 s58 on div
State 107 g38 on VNAME
State 107 g93 on ATOMIC
State 107 g39 on CONST
State 107 g94 on OP
State 107 g115 on ARG
State 107 g71 on UNOP
State 107 g72 on BINOP
State 108 s9 on V
State 108 s40 on N
State 108 s41 on T
State 108 g38 on VNAME
State 108 g116 on ATOMIC
State 108 g39 on CONST
State 109 r23 on ;
State 110 s117 on )
State 111 s118 on )
State 112 r53 on num
State 112 r53 on end
State 112 r53 on void
State 112 r53 on $
State 113 s119 on ,
State 114 s9 on V
State 114 g120 on VNAME
State 115 s121 on )
State 116 s122 on )
State 117 r33 on ,
State 117 r33 on )
State 117 r33 on then
State 118 r34 on then
State 119 s4 on num
State 119 s5 on text
State 119 g123 on VTYP
State 120 s124 on )
State 121 r28 on ,
State 121 r28 on ;
State 121 r28 on )
State 122 r22 on ;
State 123 s9 on V
State 123 g125 on VNAME
State 124 r50 on {
State 125 s126 on ,
State 126 r56 on begin
